Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
3.0,3.0,90.0,79.0,1750000000.0
3.0,3.0,58.0,90.0,1500000000.0
5.0,5.0,200.0,91.0,2500000000.0
4.0,3.0,240.0,124.0,2300000000.0
3.0,3.0,130.0,128.0,2180000000.0
5.0,3.0,280.0,150.0,2200000000.0
2.0,2.0,2.0,43.0,460000000.0
2.0,2.0,45.0,25.0,515750000.0
2.0,2.0,59.0,40.0,680000000.0
2.0,2.0,43.0,22.0,553500000.0
2.0,2.0,41.0,21.0,457700000.0
3.0,3.0,125.0,128.0,2100000000.0
2.0,1.0,60.0,70.0,498000000.0
5.0,3.0,270.0,139.0,4500000000.0
2.0,2.0,60.0,95.0,1850000000.0
4.0,3.0,284.0,230.0,2700000000.0
3.0,3.0,240.0,144.0,3900000000.0
4.0,3.0,215.0,180.0,3250000000.0
3.0,3.0,93.0,102.0,1700000000.0
3.0,2.0,70.0,48.0,780560000.0
4.0,3.0,275.0,115.0,2600000000.0
4.0,3.0,185.0,136.0,2950000000.0
4.0,4.0,200.0,164.0,2950000000.0
5.0,2.0,170.0,90.0,1200000000.0
4.0,2.0,180.0,153.0,3500000000.0
3.0,3.0,138.0,60.0,2400000000.0
4.0,3.0,136.0,90.0,3400000000.0
2.0,3.0,98.0,98.0,950000000.0
3.0,2.0,90.0,100.0,3700000000.0
4.0,4.0,135.0,106.0,3950000000.0
5.0,6.0,120.0,90.0,3000000000.0
2.0,2.0,120.0,108.0,2000000000.0
4.0,3.0,195.0,171.0,4000000000.0
3.0,3.0,1.0,90.0,3600000000.0
3.0,2.0,160.0,106.0,2130000000.0
4.0,2.0,125.0,91.0,2900000000.0
5.0,3.0,150.0,281.0,2150000000.0
2.0,2.0,72.0,50.0,1300000000.0
2.0,2.0,38.0,20.0,403220000.0
2.0,2.0,120.0,60.0,1550000000.0
3.0,2.0,250.0,180.0,2580000000.0
3.0,3.0,125.0,127.0,1330000000.0
2.0,1.0,36.0,72.0,440000000.0
3.0,2.0,72.0,45.0,1230000000.0
3.0,3.0,150.0,80.0,1500000000.0
3.0,3.0,70.0,50.0,1130000000.0
4.0,3.0,93.0,75.0,1790000000.0
2.0,2.0,60.0,30.0,777000000.0
5.0,6.0,450.0,180.0,2700000000.0
4.0,4.0,193.0,105.0,5400000000.0
4.0,3.0,150.0,143.0,4500000000.0
3.0,3.0,78.0,53.0,1170000000.0
5.0,5.0,250.0,143.0,1790000000.0
3.0,3.0,90.0,58.0,2300000000.0
2.0,2.0,58.0,32.0,975000000.0
4.0,3.0,250.0,172.0,3500000000.0
3.0,3.0,100.0,78.0,1980000000.0
2.0,1.0,40.0,60.0,670000000.0
2.0,2.0,54.0,90.0,1120000000.0
2.0,2.0,56.0,31.0,990850000.0
4.0,3.0,112.0,101.0,1500000000.0
3.0,3.0,91.0,90.0,1660000000.0
4.0,4.0,250.0,180.0,1500000000.0
5.0,3.0,200.0,150.0,1790000000.0
4.0,3.0,153.0,98.0,2300000000.0
3.0,2.0,130.0,91.0,1330000000.0
4.0,4.0,135.0,82.0,1900000000.0
2.0,3.0,180.0,60.0,1350000000.0
2.0,2.0,60.0,30.0,799000000.0
4.0,4.0,197.0,117.0,5800000000.0
3.0,2.0,110.0,75.0,1300000000.0
3.0,3.0,56.0,33.0,1270000000.0
3.0,2.0,100.0,44.0,935000000.0
4.0,3.0,139.0,79.0,3750000000.0
4.0,4.0,197.0,117.0,5800000000.0
3.0,2.0,130.0,90.0,1800000000.0
4.0,4.0,72.0,44.0,2660000000.0
3.0,1.0,200.0,104.0,2400000000.0
